,Movie,Audience,Open,Screen,watchGradeNm,genres
20177473,비밥바룰라,45779,2018-01-24,1,12세이상관람가,코미디
20176121,흥부: 글로 세상을 바꾼 자,416137,2018-02-14,7,12세이상관람가,사극
20179205,조선명탐정: 흡혈괴마의 비밀,2443282,2018-02-08,8,12세이상관람가,사극
20181741,예스 평창!,595,2018-03-08,1,전체관람가,다큐멘터리
20176104,그것만이 내 세상,3415953,2018-01-17,4,12세이상관람가,코미디
20170590,1987,7229281,2017-12-27,62,15세이상관람가,드라마
20189761,터닝메카드W: 반다인의 비밀 특별판,21220,2018-02-08,30,전체관람가,애니메이션
20174846,뽀로로 극장판 공룡섬 대모험,826003,2017-12-07,2,전체관람가,애니메이션
20168161,1급기밀,217956,2018-01-24,20,12세이상관람가,드라마
20161681,미옥,239987,2017-11-09,3,청소년관람불가,범죄
20180481,나인데이즈,296, ,1,,기타
20170402,강철비,4449854,2017-12-14,37,15세이상관람가,액션
20175830,돌아와요 부산항애(愛),5824,2018-01-17,82,15세이상관람가,범죄
20172742,범죄도시,6880351,2017-10-03,10,청소년관람불가,범죄
20173581,기억의 밤,1387499,2017-11-29,6,15세이상관람가,미스터리
20010047,번지점프를 하다,4055,2001-02-02,1,15세관람가,드라마
20178706,오렌지필름 영화제 요즘 어떤 이별 하세요?,58, ,1,,기타
20179069,박선주 감독전,23, ,1,,기타
20176769,광인옥한흠,2681,2017-12-28,5,전체관람가,다큐멘터리
20177103,섹스의 목적 - 감독판,166,2017-12-14,1,청소년관람불가,멜로/로맨스
20165748,꾼,4018035,2017-11-22,5,15세이상관람가,범죄
20175441,채비,177428,2017-11-09,1,12세이상관람가,드라마
20138712,꼭두각시,32628,2013-06-20,1,청소년관람불가,공포(호러)
20177803,"서울영화제 ""사람들의 이야기""",398, ,1,,기타
20161762,반드시 잡는다,446764,2017-11-29,3,15세이상관람가,스릴러
20176044,2017 중앙영화제 보름달,268, ,1,,기타
20168754,7호실,346986,2017-11-15,5,15세이상관람가,코미디
20172603,부라더,1492049,2017-11-02,8,12세이상관람가,코미디
20177227,DIMA 방송보도제작과 영상제 ‘추억이 오네요’ 2부 ,320, ,1,,기타
20175208,뷰티풀 투모로우,62650,2017-10-26,1,12세이상관람가,드라마
20173903,역모-반란의 시대,21657,2017-11-23,355,15세이상관람가,사극
20171817,넛잡 2,410569,2017-10-03,5,전체관람가,애니메이션
20169643,침묵,493673,2017-11-02,8,15세이상관람가,드라마
20165450,남한산성,3846769,2017-10-03,20,15세이상관람가,사극
20171885,노트르담 드 파리,4974,2017-11-01,33,전체관람가,뮤지컬
20164424,대장 김창수,377071,2017-10-19,51,12세이상관람가,드라마
20154907,희생부활자,322207,2017-10-12,19,15세이상관람가,미스터리
20154909,살인자의 기억법,2657557,2017-09-06,20,15세이상관람가,범죄
20151227,아빠는 딸,647305,2017-04-12,2,12세이상관람가,코미디
20150964,조작된 도시,2515315,2017-02-09,1,15세이상관람가,범죄
20151003,장산범,1306387,2017-08-17,5,15세이상관람가,미스터리
20172964,이웃집 스타,10747,2017-09-21,1,12세이상관람가,코미디
20164174,브이아이피,1373298,2017-08-23,2,청소년관람불가,범죄
20172759,더 헌트+동경소녀+노브라 해방기+여자답게 싸워라,926, ,2,,기타
20172758,꽃피는 편지+페루자+여름의 출구+동백꽃이 피면,591, ,3,,기타
20172778,"숨바꼭질+지구별+가을단기방학+못, 함께하는",943, ,2,,기타
20172757,김장+손의 무게+미열,1000, ,2,,기타
20161481,군함도,6591193,2017-07-26,6,15세이상관람가,액션
20179407,로마의 휴일,134577,2017-08-30,5,15세이상관람가,코미디
20124074,건축학개론,4112496,2012-03-22,1,12세이상관람가,멜로/로맨스
20173826,구세주: 리턴즈,4052,2017-09-14,121,15세이상관람가,코미디
20171105,SESIFF2017 제1기 영등포 초단편영화 아카데미,623, ,3,,기타
20170791,안양국제청소년영화제 국내경쟁 3 (언더 24),120, ,1,,기타
20171644,게이봉박두5 : 자유로운 연애중,336, ,1,,기타
20177533,무정,590, ,1,,멜로/로맨스
19760017,진짜 진짜 잊지마,207,1976-02-14,1,12세이상관람가,드라마
20171742,제16회 미쟝센 단편영화제 수상작 특별전 단편섹션 1,53, ,1,,기타
20171743,제16회 미쟝센 단편영화제 수상작 특별전 단편섹션 2,46, ,1,,기타
20165042,빅뱅 메이드,56200,2016-06-30,1,12세이상관람가,다큐멘터리
20000044,공동경비구역 JSA,1089,2000-09-08,1,15세관람가,드라마
20171059,3분 파트너,127,2017-08-17,2,청소년관람불가,멜로/로맨스
20179604,색에 놀다,127,2017-08-11,19,청소년관람불가,멜로/로맨스
20170568,구교환 배우전 - 단편 1,111, ,1,,기타
20170085,대구단편영화제 경쟁6,52, ,1,,기타
20174063,인디피크닉2017-단편2 <B급의 맛>,143, ,1,,기타
20179983,단편2: 다섯 번째 계절들 [썸머프라이드시네마],150, ,1,,기타
20179889,국내단편2: 깊은 밤을 날아서,235, ,1,,기타
20179888,국내단편1: 퀴어 파노라마,203, ,1,,기타
19580069,돈,852,1950-03-09,1,,드라마
20080697,안녕하세요 하나님,199,1987-12-24,1,연소자관람가,드라마
20162343,악녀,1207119,2017-06-08,40,청소년관람불가,액션
20178721,육체인터뷰,177,2017-07-14,20,청소년관람불가,멜로/로맨스
20100511,지옥화,3448,1958-04-20,1,미정,멜로/로맨스
20166384,하루,1129233,2017-06-15,4,15세이상관람가,스릴러
20179807,젝스키스 20주년 기념 하와이 영상 NEW KIES ON THE [HONOLULU],4284, ,14,,기타
20169348,대립군,837310,2017-05-31,3,15세이상관람가,드라마
20177546,MSFF2017 사랑에 관한 짧은 필름 4,277, ,1,,멜로/로맨스
20177524,MSFF2017 사랑에 관한 짧은 필름 2,258, ,1,,멜로/로맨스
20177550,MSFF2017 4만번의 구타 1,255, ,1,,액션
20162722,보안관,2587648,2017-05-03,2,15세이상관람가,범죄
19560023,격퇴,401,1956-04-04,1,12세이상관람가,전쟁
20175581,파워배틀 와치카: 와치가면의 역습,23136,2017-06-01,2,전체관람가,애니메이션
20177223,청춘 합창단 - 또 하나의 꿈,5041,2017-06-15,38,전체관람가,다큐멘터리
20175841,티켓 다방 - 무삭제판,175,2017-06-16,20,청소년관람불가,멜로/로맨스
20156708,석조저택 살인사건,351342,2017-05-09,7,15세이상관람가,스릴러
20162871,특별시민,1362434,2017-04-26,6,15세이상관람가,드라마
20178061,평화의 시대+Present+브레멘,125, ,1,,드라마
20161726,임금님의 사건수첩,1634038,2017-04-26,5,12세이상관람가,코미디
20144444,아가씨,4288530,2016-06-01,1,청소년관람불가,스릴러
19550028,미망인,1195,1955-12-10,1,청소년관람불가,드라마
20173061,슈퍼 빼꼼: 스파이 대작전,98020,2017-05-03,10,전체관람가,애니메이션
20174165,극장판 또봇: 로봇군단의 습격,141573,2017-04-27,4,전체관람가,애니메이션
20162181,프리즌,2931897,2017-03-23,5,청소년관람불가,범죄
19800040,미워도 다시 한번 '80,2141,1980-06-21,1,국민학생관람불가,드라마
20174325,콕!애니 - [섹션3] Old but New : 변주,494, ,1,,애니메이션
20167901,어느날,234586,2017-04-05,5,15세이상관람가,멜로/로맨스
20174341,콕!애니 - [섹션1] Between : 너와 나의 사이,304, ,2,,애니메이션
20080893,렌의 애가,1650,1969-01-01,1,15세이상관람가,드라마
20161923,시간위의 집,128764,2017-04-05,14,15세이상관람가,미스터리
20175184,가정교사-맛있는 섹스 비밀 수업,132,2017-04-21,20,청소년관람불가,멜로/로맨스
20166421,재심,2420977,2017-02-15,2,15세이상관람가,드라마
20139183,역린,3849700,2014-04-30,1,15세이상관람가,사극
20150971,해빙,1204384,2017-03-01,4,15세이상관람가,스릴러
20162381,일사각오,94825,2016-03-17,1,12세이상관람가,드라마
20159657,최강전사 미니특공대: 영웅의 탄생,117291,2016-02-04,1,전체관람가,애니메이션
20167902,보통사람,382202,2017-03-23,50,15세이상관람가,드라마
20174081,"인디피크닉2017-단편5 <혼돈의 밤, 소동의 기억>",143, ,1,,기타
20144257,안녕 자두야 스페셜 : 인어공주 ,272, ,1,전체관람가,애니메이션
20161723,싱글라이더,351276,2017-02-22,1,15세이상관람가,드라마
20172401,왕을 참하라,4188,2017-03-16,1,청소년관람불가,드라마
20167905,비정규직 특수요원,146802,2017-03-16,102,15세이상관람가,코미디
20173501,SIDOF2017_9 와 0 사이/You are my../서른/탈,184, ,1,,기타
20173302,플레이온,172, ,1,,다큐멘터리
20173402,어떤 점거,136, ,1,,다큐멘터리
19628013,인목대비,2564, ,1,,사극
20167567,결사대작전,691,1969-09-03,1,,드라마
19628028,와룡선생 상경기,2159, ,1,,코미디
20168668,레이디버그,40989,2017-02-22,17,전체관람가,애니메이션
20153317,서울의 지붕 밑,1563, ,1,,코미디
20144641,판도라,4583645,2016-12-07,1,12세이상관람가,드라마
20156562,루시드 드림,102047,2017-02-22,2,15세이상관람가,SF
19700035,미워도 다시 한번 3,1988,1970-01-01,1,12세이상관람가,드라마
20151228,공조,7816521,2017-01-18,34,15세이상관람가,액션
20161366,"그래, 가족",46378,2017-02-15,5,12세이상관람가,코미디
19660041,물레방아,648,1966-11-10,1,12세이상관람가,멜로/로맨스
19730023,흑권,592,1973-09-09,1,12세이상관람가,액션
20161725,마스터,7150142,2016-12-21,5,15세이상관람가,액션
20145503,검은 사제들,5442915,2015-11-05,1,15세이상관람가,미스터리
20170602,오오극장 개관 2주년 특별전 - 류선영 배우 단편모음,110, ,1,,드라마
20150966,사랑하기 때문에,340766,2017-01-04,4,12세이상관람가,코미디
20179694,맛있는 워킹걸,158,2017-02-02,5,청소년관람불가,멜로/로맨스
20167689,여비서,18,2016-12-22,1,청소년관람불가,멜로/로맨스
20168104,2017 한국영화아카데미 33기 졸업영화제 - B,414, ,2,,기타
20168087,2017 한국영화아카데미 33기 졸업영화제 - C,414, ,2,,기타
20168088,2017 한국영화아카데미 33기 졸업영화제 - D,414, ,1,,기타
20168086,2017 한국영화아카데미 33기 졸업영화제 - A,414, ,2,,기타
20168643,2017 한국영화아카데미 33기 졸업영화제 - 개막작,160, ,1,,기타
20152371,"당신, 거기 있어줄래요",1168597,2016-12-14,5,12세이상관람가,판타지
20166077,오오단편극장-연애의 문을 여네,30, ,1,,기타
20165972,아이돌 섹스 스캔들 2,6,2016-12-08,1,청소년관람불가,멜로/로맨스
19880070,칠수와 만수,321,1988-11-26,1,고등학생이상관람가,드라마
20154661,형,2980397,2016-11-23,1,12세이상관람가,코미디
20168624,오오단편극장 - 이학주 배우전,49, ,1,,드라마
20165724,친구애인,6,2016-12-12,1,청소년관람불가,멜로/로맨스
20155223,목숨 건 연애,47805,2016-12-14,6,15세이상관람가,멜로/로맨스
20153741,미씽: 사라진 여자,1153109,2016-11-30,1,15세이상관람가,미스터리
19820019,만추,849371,2011-02-17,1,15세이상관람가,멜로/로맨스
20154905,가려진 시간,510728,2016-11-16,5,12세이상관람가,드라마
20140704,비밀은 없다,250829,2016-06-23,1,청소년관람불가,스릴러
20123501,군도: 민란의 시대,4775811,2014-07-23,1,15세이상관람가,사극
20150979,덕혜옹주,5599229,2016-08-03,2,12세이상관람가,사극
20151022,걷기왕,95393,2016-10-20,1,12세이상관람가,드라마
20160472,두 남자,59788,2016-11-30,23,청소년관람불가,범죄
20153444,럭키,6974991,2016-10-13,1,15세이상관람가,코미디
20163521,스플릿,757863,2016-11-09,4,15세이상관람가,드라마
20156250,인천상륙작전,7049537,2016-07-27,1,12세이상관람가,전쟁
20153443,아수라,2594028,2016-09-28,2,청소년관람불가,범죄
19910067,천국의 계단,297,1992-02-15,1,고등학생이상관람가,드라마
20165524,타는 여자,168,2016-11-25,20,청소년관람불가,멜로/로맨스
20165152,여배우 섹스 스캔들2,125,2016-11-25,20,청소년관람불가,드라마
20124050,화차,2436810,2012-03-08,1,15세이상관람가,미스터리
19688114,암굴왕,744, ,1,,드라마
20163107,아더왕의 전설,847,2016-11-09,2,전체관람가,공연
20150564,혼숨,286147,2016-10-26,73,15세이상관람가,공포(호러)
20150566,극장판 꼬마버스 타요의 에이스 구출작전,134658,2016-01-21,4,전체관람가,애니메이션
20155486,"소년, 달리다",356, ,1,,다큐멘터리
20166163,마포사는 황부자,1229, ,1,,드라마
20162526,AISFF2016 국내경쟁 1,150, ,1,,기타
20164002,[PDFF2016] PDFF경선 3,148, ,1,,기타
20163995,[PDFF2016] PDFF경선 5,148, ,1,,기타
20166541,달빛궁궐,152634,2016-09-07,4,전체관람가,애니메이션
20112212,만추,1239,1982-02-28,1,연소자관람불가,드라마
20159646,밀정,7499738,2016-09-07,3,15세이상관람가,액션
20159648,"고산자, 대동여지도",973951,2016-09-07,1,전체관람가,사극
20162704,극장판 안녕 자두야,280197,2016-05-04,1,전체관람가,애니메이션
20162052,제6회 서울 프라이드 영화제 국내단편1,90, ,1,,기타
20162054,제6회 서울 프라이드 영화제 국내단편3,77, ,1,,기타
20162053,제6회 서울 프라이드 영화제 국내단편2,76, ,1,,기타
20162022,대결,32278,2016-09-22,2,15세이상관람가,액션
20160876,어린 형수 - 무삭제판,184,2016-10-13,20,청소년관람불가,멜로/로맨스
20161082,진시황제와 만리장성,165, ,1,,드라마
20161697,제6회 고양스마트영화제 2일 2부,150, ,1,,기타
20161716,제6회 고양스마트영화제 2일 1부,150, ,1,,기타
20161715,제6회 고양스마트영화제 1일 2부,150, ,1,,기타
20160223,불륜의 후예,183,2016-09-30,20,청소년관람불가,멜로/로맨스
20160864,오오단편극장 – 김태리 배우 특별전,162, ,1,,드라마
20160041,인천상륙작전 : 익스텐디드 에디션(확장판),26950,2016-09-13,2,15세이상관람가,전쟁
20154910,터널,7120241,2016-08-10,17,12세이상관람가,드라마
20150968,국가대표 2,709240,2016-08-10,1,12세이상관람가,드라마
19850074,화녀촌,449,1985-11-16,1,연소자관람불가,드라마
20161961,나는 증인이다,557,2016-09-14,2,15세이상관람가,미스터리
20169366,부부의 스폰서,313,2016-09-09,20,청소년관람불가,멜로/로맨스
20150901,올레,66127,2016-08-25,60,15세이상관람가,드라마
20168863,19 섹스 맛있는 속 궁합,177,2016-09-02,20,청소년관람불가,멜로/로맨스
20168125,19금 만남의 목적,177,2016-09-02,20,청소년관람불가,멜로/로맨스
20140121,"1789, 바스티유의 연인들",4386,2014-09-18,6,전체관람가,뮤지컬
20152105,"시발, 놈: 인류의 시작",965,2016-08-18,7,15세이상관람가,코미디
20101365,내시,3847, ,1,,드라마
19678075,원점,198, ,1,,액션
20159644,봉이 김선달,2049396,2016-07-06,5,12세이상관람가,사극
20168148,꿈꾸는 나비,135,2016-08-12,21,청소년관람불가,미스터리
20156807,뽀로로 극장판 컴퓨터 왕국 대모험,445360,2015-12-10,1,전체관람가,애니메이션
20166542,태양은늙지않는다,159, ,1,,드라마
20165381,탐정사무소-평강공주와 바보온달 무삭제판,292,2016-06-15,2,청소년관람불가,스릴러
20156559,계춘할망,482259,2016-05-19,3,15세이상관람가,가족
20050216,형사 Duelist,922680,2005-09-08,1,12세관람가,멜로/로맨스
20150972,굿바이 싱글,2103766,2016-06-29,129,15세이상관람가,코미디
20050239,너는 내 운명,2701544,2005-09-23,1,18세관람가,멜로/로맨스
20140194,곡성,6879769,2016-05-12,7,15세이상관람가,미스터리
20158982,트릭,37763,2016-07-13,5,15세이상관람가,스릴러
20154906,사냥,645580,2016-06-29,27,15세이상관람가,액션
19750091,태풍을 일으킨 사나이,310,1975-11-06,1,12세이상관람가,멜로/로맨스
20159645,특별수사: 사형수의 편지,1237897,2016-06-16,138,15세이상관람가,범죄
20165344,주말부부,291,2016-07-08,21,청소년관람불가,멜로/로맨스
20112773,백사부인,854,1960-10-02,1,,사극
20165072,제15회 미쟝센 단편영화제 희극지왕 2,317, ,1,,코미디
20158483,오빠생각,1069864,2016-01-21,1,12세이상관람가,드라마
19940063,장미의 나날,237,1994-04-02,1,연소자관람불가,스릴러
20164873,국내단편1:헤어지고 다시 만나고,123, ,1,,기타
20164874,국내단편2 : 새로운시작,119, ,1,,기타
20132795,콩나물,83, ,1,,드라마
20158242,무서운 이야기 3 : 화성에서 온 소녀,96662,2016-06-01,88,15세이상관람가,공포(호러)
20162431,극장판 프랭키와 친구들: 생명의 나무,55568,2016-04-13,15,전체관람가,애니메이션
20161364,귀향,3586442,2016-02-24,1,15세이상관람가,드라마
20143509,엽기적인 그녀 2,74581,2016-05-12,16,15세이상관람가,멜로/로맨스
20155700,왕자 호동,416, ,1,,사극
20164130,[인디포럼2016] 신작06 그 남자 그 여자의 사정 ,164, ,1,,기타
20145506,해어화,484735,2016-04-13,3,15세이상관람가,사극
20164001,착한 여비서의 목적,559,2016-05-20,20,청소년관람불가,멜로/로맨스
20159641,위대한 소원,307332,2016-04-21,17,15세이상관람가,코미디
20142621,시간이탈자,1202050,2016-04-13,21,15세이상관람가,스릴러
20163721,탐정사무소 - 사랑과 전쟁,315,2016-05-13,20,청소년관람불가,스릴러
20152782,"날, 보러와요",1062288,2016-04-07,31,청소년관람불가,미스터리
19860024,겨울나그네,3449,1986-04-12,1,연소자관람불가,드라마
20136068,히말라야,7759635,2015-12-16,1,12세이상관람가,드라마
20150902,대배우,165401,2016-03-30,188,12세이상관람가,코미디
20111486,강화도령,2451, ,1,,사극
19800068,바람불어 좋은 날,905,1980-11-27,1,연소자관람불가,드라마
19930013,여자의 일생,377,1993-05-28,1,연소자관람불가,멜로/로맨스
20145396,널 기다리며,633208,2016-03-10,48,청소년관람불가,스릴러
20145507,검사외전,9706777,2016-02-03,4,15세이상관람가,범죄
20151945,파란 이별의 글씨,1914, ,1,,드라마
20148048,베테랑,13414136,2015-08-05,1,15세이상관람가,액션
20148841,헬머니,523494,2015-03-05,1,청소년관람불가,코미디
19580061,별아 내 가슴에,1126,1958-05-31,1,,멜로/로맨스
20162499,인디다큐페스티발2016 국내신작전 15,126, ,1,,다큐멘터리
20080306,Out : 이반검열 두 번째 이야기 ,121, ,1,,다큐멘터리
20162484,인디다큐페스티발2016  국내신작전 11,115, ,1,,다큐멘터리
20161722,히야,21501,2016-03-10,16,12세이상관람가,드라마
20150977,좋아해줘,847912,2016-02-17,24,12세이상관람가,멜로/로맨스
20145502,남과 여,203191,2016-02-25,12,청소년관람불가,멜로/로맨스
20151021,순정,239366,2016-02-24,3,12세이상관람가,드라마
20157205,하숙생,1956, ,1,,기타
20145171,대호,1762569,2015-12-16,1,12세이상관람가,사극
20152541,무수단,12952,2016-03-03,228,15세이상관람가,미스터리
20150903,번개맨,68734,2016-02-11,8,전체관람가,판타지
20157466,"로봇, 소리",475622,2016-01-27,49,12세이상관람가,드라마
20150025,내부자들: 디 오리지널,2082913,2015-12-31,39,청소년관람불가,범죄
20068576,그날의 분위기,651612,2016-01-14,17,15세이상관람가,멜로/로맨스
20142641,나를 잊지 말아요,427190,2016-01-07,6,15세이상관람가,멜로/로맨스
20144442,조선마술사,627379,2015-12-30,53,12세이상관람가,드라마
20152370,잡아야 산다,54270,2016-01-07,24,15세이상관람가,코미디
20158910,하숙집 2,566,2016-01-07,2,청소년관람불가,멜로/로맨스
20157501,극적인 하룻밤,321616,2015-12-03,7,청소년관람불가,멜로/로맨스
19750002,애수의 샌프란시스코,405,1975-03-28,1,전체관람가,멜로/로맨스
20156748,열정같은소리하고있네,654407,2015-11-25,1,15세이상관람가,드라마
20149299,파일 : 4022일의 사육,1286,2015-12-10,4,청소년관람불가,미스터리
20149266,차이나타운,1472102,2015-04-29,1,청소년관람불가,범죄
20159686,색끈한 퓨전사극 심청야사,507,2015-12-17,5,청소년관람불가,사극
20147130,타투,11866,2015-12-10,3,청소년관람불가,스릴러
20156557,탐정 : 더 비기닝,2625686,2015-09-24,2,15세이상관람가,코미디
20157176,오디세오,862,2015-10-22,1,전체관람가,공연
20140144,도리화가,316310,2015-11-25,35,12세이상관람가,사극
20159002,서태지밴드 콘서트투어 '콰이어트나이트',5361,2015-11-26,6,전체관람가,공연
20124034,도둑들,12983821,2012-07-25,1,15세이상관람가,액션
20158682,꾸루꾸루와 친구들: 무지개 나무의 비밀,6736,2015-11-19,9,전체관람가,애니메이션
20143513,미쓰 와이프,988391,2015-08-13,2,15세이상관람가,코미디
20148851,암살,12704656,2015-07-22,6,15세이상관람가,액션
20145501,돌연변이,100498,2015-10-22,7,12세이상관람가,드라마
20157465,그놈이다,1045218,2015-10-28,35,15세이상관람가,스릴러
20158806,용주골,306,2015-11-19,20,청소년관람불가,드라마
20157464,더 폰,1593592,2015-10-22,7,15세이상관람가,스릴러
20158701,세상끝의 사랑,3080,2015-11-12,97,청소년관람불가,멜로/로맨스
20142855,성난 변호사,1127747,2015-10-08,21,15세이상관람가,범죄
20149961,미안해 사랑해 고마워,50571,2015-10-28,5,15세이상관람가,드라마
